,station_name,lat,lng,start_count,end_count
298,Pike St & E Broadway,40.714,-73.993,496.0,497.0
299,W 56 St & 6 Ave,40.763,-73.977,494.0,494.0
300,W 39 St & 9 Ave,40.756,-73.994,491.0,492.0
301,Prospect Park West & 8 St,40.665,-73.976,490.0,384.0
302,W 82 St & Central Park West,40.783,-73.971,488.0,435.0
303,Cathedral Pkwy & Broadway,40.804,-73.967,486.0,482.0
304,MacDougal St & Washington Sq,40.732,-73.999,482.0,496.0
305,E 54 St & 1 Ave,40.756,-73.964,481.0,461.0
306,Greenwich St & Perry St,40.735,-74.007,481.0,496.0
307,5 Ave & E 103 St,40.792,-73.952,480.0,478.0
308,Lenox Ave & W 111 St,40.799,-73.952,478.0,484.0
309,Madison Ave & E 82 St,40.778,-73.961,477.0,470.0
310,Grand St & Samuel Dickstein Plaza,40.715,-73.984,476.0,470.0
311,W 116 St & Amsterdam Ave,40.807,-73.961,476.0,462.0
312,Schermerhorn St & Bond St,40.688,-73.985,476.0,469.0
313,E 5 St & Avenue C,40.723,-73.98,476.0,460.0
314,St James Pl & Oliver St,40.713,-73.999,476.0,505.0
315,Clinton Ave & Myrtle Ave,40.693,-73.969,475.0,452.0
316,N 12 St & Bedford Ave,40.721,-73.955,474.0,487.0
317,8 Ave & W 27 St,40.748,-73.997,474.0,471.0
318,Lispenard St & Broadway,40.719,-74.002,474.0,500.0
319,E 51 St & Lexington Ave,40.757,-73.972,471.0,411.0
320,Clinton St & Tillary St,40.696,-73.991,470.0,466.0
321,E 59 St & Madison Ave,40.764,-73.971,470.0,482.0
322,E 89 St & York Ave,40.778,-73.946,469.0,470.0
323,W 46 St & 11 Ave,40.763,-73.997,468.0,468.0
324,Centre St & Worth St,40.715,-74.002,467.0,461.0
325,5 Ave & E 63 St,40.766,-73.972,464.0,478.0
326,King St & Varick St,40.728,-74.005,461.0,457.0
327,Amsterdam Ave & W 66 St,40.775,-73.985,461.0,459.0
328,Emerson Pl & Myrtle Ave,40.694,-73.962,458.0,440.0
329,Vernon Blvd & 50 Ave,40.742,-73.954,456.0,449.0
330,Hudson St & Reade St,40.716,-74.009,452.0,436.0
331,Bedford Ave & Nassau Ave,40.723,-73.952,452.0,476.0
332,Front St & Washington St,40.703,-73.989,451.0,449.0
333,E 84 St & Park Ave,40.779,-73.958,450.0,420.0
334,Bank St & Washington St,40.736,-74.009,448.0,439.0
335,E 77 St & 3 Ave,40.773,-73.959,447.0,441.0
336,W 52 St & 6 Ave,40.761,-73.98,445.0,435.0
337,W 56 St & 8 Ave,40.766,-73.983,445.0,397.0
338,William St & Pine St,40.707,-74.009,445.0,432.0
339,W 84 St & Broadway,40.787,-73.977,444.0,434.0
340,Hope St & Union Ave,40.712,-73.951,443.0,441.0
341,Spruce St & Nassau St,40.711,-74.006,442.0,440.0
342,Graham Ave & Conselyea St,40.715,-73.945,442.0,435.0
343,E 5 St & Cooper Sq,40.728,-73.991,442.0,445.0
344,W 51 St & Rockefeller Plaza,40.76,-73.978,440.0,404.0
345,E 56 St & Madison Ave,40.762,-73.973,440.0,421.0
346,W 87 St & Amsterdam Ave,40.788,-73.975,437.0,406.0
347,Fulton St & William St,40.71,-74.007,437.0,444.0
348,Berry St & N 8 St,40.719,-73.959,435.0,435.0
349,Franklin St & Dupont St,40.736,-73.959,435.0,436.0
350,E 51 St & 1 Ave,40.755,-73.966,433.0,434.0
351,3 Ave & E 62 St,40.763,-73.965,432.0,440.0
352,Clinton St & Cherry St,40.711,-73.987,431.0,416.0
353,DeKalb Ave & Vanderbilt Ave,40.689,-73.969,429.0,420.0
354,E 76 St & Park Ave,40.774,-73.962,427.0,439.0
355,E Houston St & Columbia St,40.72,-73.979,426.0,472.0
356,W 74 St & Columbus Ave,40.779,-73.978,426.0,401.0
357,Clinton St & Joralemon St,40.692,-73.993,425.0,416.0
358,Bank St & Hudson St,40.737,-74.006,424.0,401.0
359,Atlantic Ave & Furman St,40.692,-74.0,422.0,420.0
360,46 Ave & 5 St,40.747,-73.955,422.0,426.0
361,Mercer St & Spring St,40.724,-73.999,422.0,421.0
362,E 55 St & 2 Ave,40.758,-73.966,421.0,410.0
363,Lenox Ave & W 126 St,40.808,-73.945,421.0,410.0
364,St Nicholas Ave & Manhattan Ave,40.81,-73.953,421.0,414.0
365,Flushing Ave & Vanderbilt Ave,40.698,-73.971,420.0,434.0
366,3 St & Prospect Park West,40.668,-73.974,420.0,356.0
367,Grand St & Havemeyer St,40.713,-73.957,418.0,413.0
368,E 81 St & 3 Ave,40.776,-73.957,418.0,400.0
369,2 Ave & E 55 St,40.758,-73.966,414.0,404.0
370,Division St & Bowery,40.714,-73.997,413.0,417.0
